127.0.0.1 - - [21/Jan/2020:10:06:16 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [21/Jan/2020:10:06:17 +0900] "GET /ajaxTest2/frontend.jsp HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [21/Jan/2020:10:06:17 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [21/Jan/2020:10:06:30 +0900] "GET /ajaxTest2/frontend.jsp HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [21/Jan/2020:10:07:43 +0900] "GET /ajaxTest2/frontend.jsp HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [21/Jan/2020:10:07:44 +0900] "GET /ajaxTest2/frontend.jsp HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [21/Jan/2020:10:07:44 +0900] "GET /ajaxTest2/frontend.jsp HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [21/Jan/2020:10:07:44 +0900] "GET /ajaxTest2/frontend.jsp HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [21/Jan/2020:10:07:45 +0900] "GET /ajaxTest2/frontend.jsp HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [21/Jan/2020:10:07:47 +0900] "GET /ajaxTest2/frontend.jsp HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [21/Jan/2020:10:07:48 +0900] "GET /ajaxTest2/frontend.jsp HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [21/Jan/2020:10:07:48 +0900] "GET /ajaxTest2/frontend.jsp HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [21/Jan/2020:10:07:50 +0900] "GET /ajaxTest2/frontend.jsp HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [21/Jan/2020:10:07:50 +0900] "GET /ajaxTest2/frontend.jsp HTTP/1.1" 200 125
